Species,Species_model,sla,lnm,lpm,CHELSA_bio10_1,CHELSA_bio10_4,CHELSA_bio10_12,CHELSA_bio10_15,PFTs,Realm,KG_classes,KG_classORD,Ancestral_DECJ_family,Ancestral_description_family
Nectandra_cissiflora,Nectandra_cissiflora,9.626073852,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,8.579055,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,9.265789655,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,10.69301878,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,9.626507435,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,15.90599752,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_cissiflora,Nectandra_cissiflora,17.03308546,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,19.26127874,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,18.6674284,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,19.31564024,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,20.2315934,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,21.96135259,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,16.50073514,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,15.06172588,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,18.08251473,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,16.65818182,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,16.21938858,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,16.56768923,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,17.18992248,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,15.53437169,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,15.31714508,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,13.17350752,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,13.22596049,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,15.16067779,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,13.49660729,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,17.38617578,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,15.28804958,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
Nectandra_lineata,Nectandra_lineata,14.13455614,NA,NA,NA,NA,NA,NA,PFT4,Panamanian,Am,AFM,E,Cwac
